CpGName,Sample1,Sample2,Sample3
cg00000292,0.725464962,0.723509467,0.690233766
cg00002426,0.850917633,0.800778884,0.803857769
cg00003994,0.051258526,0.059439351,0.055593326
cg00005847,0.087754203,0.117223326,0.108451134
cg00006414,0.039824784,0.061468914,0.034919922
cg00007981,0.04836433,0.064893568,0.046706645
cg00008493,0.950062322,0.971310494,0.971838104
cg00008713,0.032723288,0.037479418,0.029342536
cg00009407,0.011563269,0.016371629,0.014298283
cg00010193,0.525796759,0.534765735,0.51075037
cg00011459,0.88373019,0.85720549,0.871140098
cg00012199,0.016165196,0.020123854,0.015607879
cg00012386,0.033079552,0.039148167,0.035275312
cg00012792,0.035585527,0.032851693,0.032685778
cg00013618,0.785213734,0.824665134,0.800430262
cg00014085,0.027597666,0.03401223,0.025292195
cg00014837,0.775914489,0.784412954,0.73469565
cg00015770,0.111204611,0.091379361,0.089328728
cg00016968,0.860148857,0.870804795,0.866486352
cg00019495,0.455782583,0.419290853,0.374577845
cg00020533,0.872517142,0.896638845,0.856169177
cg00021527,0.027752117,0.032382895,0.029817467
cg00022606,0.027241229,0.035557104,0.027208841
cg00022866,0.278738171,0.216268055,0.231544373
cg00024396,0.033924923,0.036513018,0.022943277
cg00024812,0.035817976,0.041844421,0.035915618
cg00025138,0.024805475,0.022488728,0.019976071
cg00025991,0.370334376,0.411523747,0.36317636
cg00027083,0.023020311,0.021762289,0.016490826
cg00027674,0.078415915,0.096991576,0.066312211
cg00029826,0.15337351,0.186435381,0.147513435
cg00029931,0.03110412,0.111744264,0.199895354
cg00030047,0.1387083,0.144990806,0.13169679
cg00031162,0.620323574,0.635076805,0.623110782
cg00032227,0.022645061,0.027712254,0.027558445
cg00032666,0.631908843,0.641529267,0.563714582
cg00033516,0.077227463,0.075417781,0.067433962
cg00033773,0.945790798,0.941549864,0.937805155
cg00034039,0.064712245,0.064649232,0.063651725
cg00035347,0.473588664,0.419978574,0.420183222
cg00035623,0.069333843,0.070762618,0.056690304
cg00037763,0.834491387,0.848514471,0.825816046
cg00037940,0.857822345,0.856851542,0.845847716
cg00040861,0.019655982,0.029932279,0.0242765
cg00040873,0.171532821,0.184750361,0.167019914
cg00041575,0.07081282,0.070751597,0.070234127
cg00042156,0.783354626,0.77979292,0.779670143
cg00043004,0.090288291,0.058867842,0.065011042
cg00043080,0.883799039,0.881926029,0.872562217
cg00044245,0.028885937,0.033694623,0.022390726
cg00044729,0.793517948,0.809675762,0.764847039
cg00047050,0.166463714,0.141067493,0.117708416
cg00047469,0.037903115,0.032357663,0.025444038
cg00049986,0.149898177,0.188962257,0.153451671
cg00050312,0.028140984,0.036811994,0.027439849
cg00051623,0.790779271,0.807297139,0.77096741
cg00051979,0.045501459,0.049377697,0.116961986
cg00053292,0.032771135,0.034105383,0.030262046
cg00053647,0.075573023,0.073017201,0.065813582
cg00054706,0.024612804,0.02989672,0.027981241
cg00055233,0.240412325,0.263994097,0.262739913
cg00056767,0.061130692,0.050745586,0.048171286
cg00057593,0.674769725,0.66437024,0.60141158
cg00058938,0.34323339,0.320592003,0.326530197
